SYMBOL,dataset_corr_count
BMS1P1,5
BMS1P14,3
BMS1P2-AGAP9,3
BMS1P20,2
BMS1P21,3
BMS1P4,2
BMS1P4-AGAP5,4
BMT2,2
BMX,1
BNC1,1
BNC2,4
BNC2-AS1,3
BNIP1,8
BNIP2,7
BNIP3,3
BNIP3L,4
BNIP5,1
BOC,2
BOD1,7
BOK,1
BOK-AS1,2
BOLA1,5
BOLA2-SMG1P6,5
BOLA3,4
BOLA3-AS1,2
BOP1,6
BORA,2
BORCS5,7
BORCS6,3
BORCS7-ASMT,7
BORCS8-MEF2B,7
BPGM,2
BPHL,6
BPIFA4P,1
BPTF,5
BRAF,6
BRAP,3
BRAT1,7
BRCA1,1
BRCA2,2
BRD1,3
BRD2,5
BRD3,5
BRD3OS,2
BRD4,5
BRD7,2
BRD7P3,2
BRD8,1
BRD9,7
BRDTP1,1
BRF1,5
BRF2,3
BRI3,5
BRI3BP,1
BRINP1,1
BRINP2,1
BRIP1,4
BRIX1,4
BRK1,3
BRMS1,1
BRMS1L,6
BROX,6
BRPF1,7
BRPF3,6
BRSK1,1
BRSK2,2
BRWD1,1
BRWD1-AS2,6
BRWD3,1
BSCL2,4
BSDC1,6
BSG,3
BSN-DT,3
BSPRY,1
BST2,1
BTAF1,7
BTBD1,6
BTBD10,5
BTBD11,2
BTBD16,1
BTBD19,5
BTBD2,3
BTBD3,5
BTBD7,7
BTBD8,1
BTBD9,7
BTBD9-AS1,1
BTC,2
BTD,4
BTF3,5
BTG1,6
BTG2,5
BTG3,3
BTG3-AS1,2
BTN2A1,5
BTN2A2,4
BTN2A3P,3
BTN3A1,2
BTN3A2,3
BTN3A3,2
BTNL10,1
BTRC,6
BUB1,5
BUB1B,3
BUB3,6
BUD13,6
BUD23,2
BUD31,7
BVES,3
BYSL,6
BZW1,7
BZW1-AS1,8
BZW2,4
C10orf105,1
C10orf120,1
C10orf126,1
C10orf142,2
C10orf143,3
C10orf25,4
C10orf55,1
C10orf88,3
C10orf91,2
C10orf95,2
C11orf1,6
C11orf24,5
C11orf44,1
C11orf49,2
C11orf52,1
C11orf53,1
C11orf54,5
C11orf58,5
C11orf65,9
C11orf68,3
C11orf72,3
C11orf74,2
C11orf80,4
C11orf86,2
C11orf87,1
C11orf91,4
C11orf95,1
C11orf96,1
C11orf98,2
C12orf10,2
C12orf29,4
C12orf43,3
C12orf45,2
C12orf49,4
C12orf56,1
C12orf57,6
C12orf60,5
C12orf65,1
C12orf66,4
C12orf71,1
C12orf73,4
C12orf75,4
C12orf76,2
C12orf80,1
C13orf42,1
C13orf46,2
C14orf132,1
C14orf178,5
C14orf28,7
C14orf39,1
C14orf93,6
C15orf39,3
C15orf40,5
C15orf41,3
C15orf54,3
C15orf65,6
C16orf46,6
C16orf54,2
C16orf58,6
C16orf70,1
C16orf72,8
C16orf74,1
C16orf82,1
C16orf86,6
C16orf87,4
C16orf91,5
C16orf95,5
C17orf100,5
C17orf107,1
C17orf112,1
C17orf113,1
C17orf50,1
C17orf58,4
C17orf64,6
C17orf67,5
C17orf75,8
C17orf80,3
C17orf82,2
C18orf21,4
C18orf25,3
C18orf54,3
C19orf12,6
C19orf25,2
C19orf33,2
C19orf47,2
C19orf48,4
C19orf53,4
C19orf54,5
C19orf57,2
C19orf67,3
C19orf73,4
C19orf81,2
C19orf84,2
C1D,6
C1GALT1,7
C1GALT1C1,3
C1orf100,2
C1orf109,4
C1orf112,5
C1orf115,1
C1orf116,1
C1orf122,6
C1orf127,1
C1orf131,3
C1orf143,2
C1orf159,3
C1orf162,1
C1orf167,2
C1orf174,2
C1orf195,2
C1orf198,1
C1orf21,4
C1orf216,4
C1orf220,3
C1orf229,6
C1orf35,5
C1orf43,7
C1orf52,3
C1orf53,4
C1orf56,6
C1orf61,5
C1orf74,3
C1orf87,1
C1QB,1
C1QBP,4
C1QL1,1
C1QL3,1
C1QTNF1,2
C1QTNF3,6
C1QTNF3-AMACR,1
C1QTNF4,1
C1QTNF5,4
C1QTNF6,7
C1QTNF7,1
C1QTNF7-AS1,1
C1QTNF9B,1
C1R,1
C1RL,4
C1RL-AS1,3
C1S,1
C2,2
C20orf187,1
C20orf194,4
C20orf197,1
C20orf203,1
C20orf204,1
C20orf27,4
C20orf85,3
C20orf96,4
C21orf58,2
C21orf59-TCP10L,5
C21orf62-AS1,1
C21orf91,5
C22orf24,5
C22orf34,1
C22orf39,5
C22orf42,1
C22orf46,5
C2CD2,2
C2CD2L,2
C2CD3,4
C2CD4A,2
C2CD4B,2
C2CD4D,1
C2CD5,5
C2CD6,2
C2orf15,6
C2orf16,1
C2orf27A,5
C2orf27B,1
C2orf42,7
C2orf49,7
C2orf66,1
C2orf69,7
C2orf73,4
C2orf74,4
C2orf76,6
C2orf81,3
C2orf88,1
