SYMBOL,dataset_corr_count
ARIH2OS,1
ARL10,1
ARL11,1
ARL13B,4
ARL14,2
ARL14EP,2
ARL15,1
ARL17A,1
ARL17B,3
ARL2,2
ARL2BP,2
ARL3,1
ARL4A,2
ARL4C,1
ARL4D,1
ARL5A,1
ARL5B,1
ARL6,1
ARL6IP1,1
ARL6IP5,1
ARL6IP6,1
ARL8A,1
ARL8B,3
ARL9,1
ARLNC1,1
ARMC1,1
ARMC10,1
ARMC2,1
ARMC2-AS1,1
ARMC3,2
ARMC4,2
ARMC5,1
ARMC6,1
ARMC7,2
ARMC8,1
ARMC9,1
ARMCX1,2
ARMCX2,1
ARMCX4,1
ARMCX5,1
ARMCX5-GPRASP2,1
ARMCX6,1
ARMH1,1
ARMH3,1
ARMH4,1
ARNT,1
ARNT2,1
ARNTL,1
ARNTL2,1
ARPC1A,3
ARPC1B,3
ARPC2,2
ARPC3,2
ARPC4,1
ARPC4-TTLL3,1
ARPC5,1
ARPC5L,1
ARPIN-AP3S2,1
ARPP19,2
ARPP21,1
ARRB1,1
ARRB2,2
ARRDC1,1
ARRDC2,1
ARRDC3-AS1,1
ARRDC4,1
ARSA,1
ARSB,1
ARSF,1
ARSG,1
ARSI,1
ARSJ,1
ART1,1
ART3,1
ART4,1
ARTN,1
ARV1,2
ASAH2,1
ASAH2B,1
ASAP1,2
ASAP2,2
ASAP3,1
ASB1,1
ASB11,1
ASB13,2
ASB15-AS1,1
ASB2,1
ASB3,1
ASB5,1
ASB6,2
ASB7,2
ASB8,1
ASCC1,2
ASCC2,1
ASCC3,1
ASCL2,1
ASCL5,1
ASDURF,1
ASF1A,2
ASF1B,1
ASH1L,1
ASH2L,2
ASIC2,2
ASIP,2
ASL,1
ASMT,1
ASMTL,2
ASNS,1
ASNSD1,1
ASPH,1
ASPHD1,2
ASPHD2,1
ASPM,1
ASPN,1
ASPSCR1,2
ASRGL1,1
ASS1,1
ASTE1,1
ASTN2,2
ASTN2-AS1,1
ASXL1,1
ASXL2,2
ASXL3,1
ATAD1,1
ATAD2,1
ATAD2B,1
ATAD3A,2
ATAD3B,2
ATAD5,3
ATE1-AS1,1
ATF1,1
ATF2,1
ATF3,2
ATF5,1
ATF6,2
ATF6B,2
ATF7,1
ATF7IP,2
ATF7IP2,2
ATG10,2
ATG13,1
ATG14,1
ATG16L1,2
ATG16L2,1
ATG2A,1
ATG2B,1
ATG4A,1
ATG4B,1
ATG4C,1
ATG5,1
ATG7,3
ATG9A,2
ATIC,1
ATL1,1
ATL2,1
ATM,1
ATMIN,1
ATN1,1
ATOH7,1
ATOH8,3
ATOX1,2
ATP10A,1
ATP10B,1
ATP10D,2
ATP11A,2
ATP11A-AS1,1
ATP11B,3
ATP11C,1
ATP13A1,2
ATP13A2,1
ATP13A3,1
ATP1A1,2
ATP1A1-AS1,1
ATP1A3,1
ATP1A4,1
ATP1B1,1
ATP1B3,2
ATP1B4,1
ATP23,1
ATP2A1,1
ATP2A2,1
ATP2A3,1
ATP2B1,1
ATP2B1-AS1,1
ATP2B2,1
ATP2B4,2
ATP2C1,2
ATP2C2,2
ATP5F1A,2
ATP5F1C,1
ATP5F1D,2
ATP5IF1,1
ATP5MC1,2
ATP5MC2,2
ATP5MC3,2
ATP5MD,1
ATP5MF-PTCD1,1
ATP5MPL,1
ATP5PB,4
ATP5PF,1
ATP5PO,1
ATP6AP1,1
ATP6AP1L,2
ATP6AP2,1
ATP6V0A1,1
ATP6V0A2,3
ATP6V0A4,1
ATP6V0B,1
ATP6V0C,2
ATP6V0CP3,3
ATP6V0D1,3
ATP6V0E1,2
ATP6V0E2,1
ATP6V1A,2
ATP6V1B1,2
ATP6V1B1-AS1,2
ATP6V1B2,2
ATP6V1C1,2
ATP6V1C2,1
ATP6V1FNB,1
ATP6V1G1,1
ATP6V1G2,2
ATP6V1G2-DDX39B,2
ATP6V1G3,1
ATP6V1H,1
ATP7A,1
ATP7B,1
ATP8B1,2
ATP8B2,3
ATP8B3,1
ATP8B4,1
ATP9A,2
ATP9B,3
ATPAF1,1
ATPAF2,1
ATPSCKMT,1
ATR,1
ATRAID,1
ATRIP,2
ATRIP-TREX1,3
ATRN,1
ATRX,1
ATXN1,1
ATXN1-AS1,3
ATXN10,1
ATXN2,1
ATXN2-AS,1
ATXN2L,1
ATXN3,1
ATXN7,1
ATXN7L1,1
ATXN7L3,2
ATXN7L3B,1
AUH,1
AUNIP,2
AURKA,2
AURKAIP1,2
AURKB,1
AUTS2,1
AVEN,2
AVIL,1
AVL9,1
AVP,1
AVPI1,3
AVPR1A,1
AWAT2,1
AXDND1,1
AXIN1,1
AXIN2,2
AXL,1
AZGP1,1
AZI2,2
AZIN1,2
AZIN1-AS1,3
AZIN2,2
B3GALNT1,2
B3GALNT2,1
B3GALT4,2
B3GALT6,1
B3GAT3,1
B3GLCT,1
B3GNT2,2
B3GNT5,1
B3GNT6,1
B3GNT7,1
B3GNT8,2
B3GNT9,2
B3GNTL1,1
B4GALNT1,1
B4GALNT2,1
B4GALNT3,1
B4GALNT4,2
B4GALT1-AS1,1
B4GALT3,1
B4GALT4,3
B4GALT5,2
B4GALT6,1
B4GALT7,1
B9D1,1
BAALC-AS1,1
BABAM1,2
BABAM2,1
BACE1,3
BACE2,1
BACH1,2
BACH2,3
BAG1,1
BAG6,1
BAGE2,2
BAHCC1,2
BAHD1,1
BAIAP2,1
BAIAP2-DT,1
BAIAP2L1,1
BAIAP3,1
BAK1,1
BAMBI,1
BANF1,1
BANF2,3
BANK1,1
BANP,2
BAP1,1
BARD1,2
BARX2,1
BASP1,1
BASP1-AS1,1
BATF,1
BATF2,2
BATF3,2
BAZ1A,2
BAZ2A,2
BAZ2B,2
BBIP1,1
BBOX1-AS1,1
BBS1,1
BBS10,2
BBS12,1
BBS2,2
BBS5,2
BBS9,2
BBX,1
BCAM,2
BCAN,1
BCAP29,2
BCAP31,1
BCAR1,3
BCAR3,3
BCAS1,1
BCAS3,1
BCAS4,3
BCAT1,1
BCAT2,1
BCCIP,2
BCDIN3D,1
BCDIN3D-AS1,3
BCHE,1
BCKDHA,1
BCKDHB,1
BCKDK,1
BCL10,1
BCL11A,1
BCL2,1
BCL2A1,1
BCL2L10,1
BCL2L11,2
BCL2L13,2
BCL2L14,1
BCL2L2,1
BCL2L2-PABPN1,1
BCL3,3
BCL6,4
BCL7A,1
BCL7B,1
BCL7C,2
BCL9,1
BCL9L,2
BCLAF1,2
BCLAF3,1
BCO1,1
BCO2,1
BCOR,1
BCR,1
BCRP2,1
BCS1L,1
BDH1,2
BDKRB1,1
BDKRB2,1
BDNF,1
BDNF-AS,2
BDP1,1
BEAN1-AS1,2
BEGAIN,1
BEND4,1
BEND6,1
BEST1,1
BEST3,1
BET1,2
BET1L,1
BEX2,1
BEX3,1
BEX4,1
BEX5,1
BFAR,1
BFSP1,1
BFSP2,1
BHLHA15,1
BHLHA9,1
BHLHE40,4
BHLHE40-AS1,2
BHLHE41,1
